cycle,tx_wptr,tx_rptr,tx_fifo_full,tx_fifo_empty,tx_fifo_level,tx_fifo_push,tx_fifo_wdata,tx_fifo_rdata,tx_fifo_pop,tx_state,uart_tx_o,tl_req_valid,tl_req_addr,tl_req_wdata
460,0x1C,0x00,0,0,28,1,0x1C,0x00,0,TX_DATA,1,1,0x00000008,0x0000001C
461,0x1D,0x00,0,0,29,1,0x1D,0x00,0,TX_DATA,1,1,0x00000008,0x0000001D
462,0x1E,0x00,0,0,30,1,0x1E,0x00,0,TX_DATA,0,1,0x00000008,0x0000001E
463,0x1F,0x00,0,0,31,1,0x1F,0x00,0,TX_DATA,0,1,0x00000008,0x0000001F
464,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
465,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
466,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
467,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
468,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
469,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
470,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
471,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
472,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,1,0,0x00000000,0x00000000
473,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,1,0,0x00000000,0x00000000
474,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,1,0,0x00000000,0x00000000
475,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
476,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
477,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
478,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
479,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
480,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,1,0,0x00000000,0x00000000
481,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,1,0,0x00000000,0x00000000
482,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
483,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
484,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,1,0,0x00000000,0x00000000
485,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,1,0,0x00000000,0x00000000
486,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
487,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_DATA,0,0,0x00000000,0x00000000
488,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_STOP,1,0,0x00000000,0x00000000
489,0x20,0x00,1,0,32,0,0x00,0x00,0,TX_STOP,1,0,0x00000000,0x00000000
490,0x20,0x00,1,0,32,1,0x80,0x00,0,TX_IDLE,1,1,0x00000008,0x00000080
491,0x20,0x00,1,0,32,1,0x81,0x80,0,TX_IDLE,1,1,0x00000008,0x00000081
492,0x20,0x00,1,0,32,1,0x82,0x80,0,TX_IDLE,1,1,0x00000008,0x00000082
493,0x20,0x00,1,0,32,0,0x00,0x80,0,TX_IDLE,1,0,0x00000000,0x00000000
494,0x20,0x00,1,0,32,0,0x00,0x80,0,TX_IDLE,1,0,0x00000000,0x00000000
495,0x20,0x00,1,0,32,0,0x00,0x80,1,TX_START,0,0,0x00000000,0x00000000
496,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_START,0,0,0x00000000,0x00000000
497,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
498,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
499,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
500,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
501,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
502,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
503,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
504,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,1,0,0x00000000,0x00000000
505,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,1,0,0x00000000,0x00000000
506,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
507,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
508,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
509,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
510,0x20,0x01,0,0,31,0,0x00,0x01,0,TX_DATA,0,0,0x00000000,0x00000000
