cycle,fsm_state,csn_o_0,sclk_o,mosi_o,miso_i,shift_tx,shift_rx,bit_cnt,byte_cnt,timing_cnt,timing_done,clk_div_cnt,clk_div_tick,segment_done,reg_csn_trail
260,2,0,0,1,0,0xA5,0x00,7,0,0,0,0,0,0,4
261,2,0,0,1,0,0xA5,0x00,7,0,0,0,1,0,0,4
262,2,0,0,1,0,0xA5,0x00,7,0,0,0,2,0,0,4
263,2,0,0,1,0,0xA5,0x00,7,0,0,0,3,0,0,4
264,2,0,1,1,0,0xA5,0x00,7,0,0,0,4,1,0,4
265,2,0,1,1,0,0xA5,0x00,7,0,0,0,0,0,0,4
266,2,0,1,1,0,0xA5,0x00,7,0,0,0,1,0,0,4
267,2,0,1,1,0,0xA5,0x00,7,0,0,0,2,0,0,4
268,2,0,0,0,1,0xA5,0x00,6,0,0,0,3,0,0,4
269,2,0,0,0,1,0xA5,0x00,6,0,0,0,4,1,0,4
270,2,0,0,0,1,0xA5,0x40,6,0,0,0,0,0,0,4
271,2,0,1,0,1,0xA5,0x40,6,0,0,0,1,0,0,4
272,2,0,1,0,1,0xA5,0x40,6,0,0,0,2,0,0,4
273,2,0,0,1,0,0xA5,0x40,5,0,0,0,3,0,0,4
274,2,0,0,1,0,0xA5,0x40,5,0,0,0,4,1,0,4
275,2,0,1,1,0,0xA5,0x60,5,0,0,0,0,0,0,4
276,2,0,0,0,1,0xA5,0x60,4,0,0,0,1,0,0,4
277,2,0,0,0,1,0xA5,0x60,4,0,0,0,2,0,0,4
278,2,0,1,0,1,0xA5,0x70,4,0,0,0,3,0,0,4
279,2,0,0,1,0,0xA5,0x70,3,0,0,0,4,1,0,4
280,2,0,0,1,0,0xA5,0x70,3,0,0,0,0,0,0,4
281,2,0,1,1,0,0xA5,0x78,3,0,0,0,1,0,0,4
282,2,0,0,0,1,0xA5,0x78,2,0,0,0,2,0,0,4
283,2,0,0,0,1,0xA5,0x78,2,0,0,0,3,0,0,4
284,2,0,1,0,1,0xA5,0x7C,2,0,0,0,4,1,0,4
285,2,0,0,1,0,0xA5,0x7C,1,0,0,0,0,0,0,4
286,2,0,0,1,0,0xA5,0x7C,1,0,0,0,1,0,0,4
287,2,0,1,1,0,0xA5,0x7E,1,0,0,0,2,0,0,4
288,2,0,0,1,0,0xA5,0x7E,0,0,0,0,3,0,0,4
289,2,0,0,1,0,0xA5,0x7E,0,0,0,0,4,1,0,4
290,2,0,1,1,1,0xA5,0x7F,0,0,0,0,0,0,1,4
291,3,0,0,0,0,0xA5,0x7F,0,0,0,0,0,0,0,4
292,3,0,0,0,0,0xA5,0x7F,0,0,0,0,1,0,0,4
293,3,0,0,0,0,0xA5,0x7F,0,0,0,0,2,0,0,4
294,3,0,0,0,0,0xA5,0x7F,0,0,0,0,3,0,0,4
295,3,0,0,0,0,0xA5,0x7F,0,0,1,0,4,1,0,4
296,3,0,0,0,0,0xA5,0x7F,0,0,1,0,0,0,0,4
297,3,0,0,0,0,0xA5,0x7F,0,0,2,0,1,0,0,4
298,3,0,0,0,0,0xA5,0x7F,0,0,2,0,2,0,0,4
299,3,0,0,0,0,0xA5,0x7F,0,0,3,0,3,0,0,4
300,3,0,0,0,0,0xA5,0x7F,0,0,3,1,4,1,0,4
301,4,1,0,0,0,0xA5,0x7F,0,0,0,0,0,0,0,4
302,4,1,0,0,0,0xA5,0x7F,0,0,0,0,1,0,0,4
303,4,1,0,0,0,0xA5,0x7F,0,0,0,0,2,0,0,4
304,4,1,0,0,0,0xA5,0x7F,0,0,1,0,3,0,0,4
305,4,1,0,0,0,0xA5,0x7F,0,0,1,0,4,1,0,4
306,4,1,0,0,0,0xA5,0x7F,0,0,2,0,0,0,0,4
307,4,1,0,0,0,0xA5,0x7F,0,0,2,1,1,0,0,4
308,0,1,0,0,0,0x00,0x00,0,0,0,0,0,0,0,4
309,0,1,0,0,0,0x00,0x00,0,0,0,0,0,0,0,4
310,0,1,0,0,0,0x00,0x00,0,0,0,0,0,0,0,4
