cycle,host_state,scl_o,scl_oe_o,scl_i,sda_o,sda_oe_o,sda_i,timing_cnt,bit_cnt,byte_done,stop_det,start_det,rstart_pending,fdata_byte,fdata_flags
360,5,0,1,0,0,1,0,45,7,0,0,0,0,0xAA,0x00
361,5,0,1,0,0,1,0,46,7,0,0,0,0,0xAA,0x00
362,5,0,1,0,0,1,0,47,7,0,0,0,0,0xAA,0x00
363,5,0,1,0,0,1,0,48,7,0,0,0,0,0xAA,0x00
364,5,0,1,0,0,1,0,49,7,0,0,0,0,0xAA,0x00
365,5,1,0,1,0,1,0,0,7,1,0,0,0,0xAA,0x00
366,5,1,0,1,0,1,0,1,7,1,0,0,0,0xAA,0x00
367,5,1,0,1,0,1,0,2,7,1,0,0,0,0xAA,0x00
368,5,1,0,1,0,1,0,3,7,1,0,0,0,0xAA,0x00
369,5,1,0,1,0,1,0,4,7,1,0,0,0,0xAA,0x00
370,5,1,0,1,0,0,0,5,0,0,0,0,0,0xAA,0x00
371,5,1,0,1,0,0,0,6,0,0,0,0,0,0xAA,0x00
372,5,1,0,1,0,0,0,7,0,0,0,0,0,0xAA,0x00
373,5,1,0,1,0,0,0,8,0,0,0,0,0,0xAA,0x00
374,5,1,0,1,0,0,0,9,0,0,0,0,0,0xAA,0x00
375,5,1,0,1,0,0,1,10,0,0,0,0,0,0xAA,0x00
376,5,0,1,0,0,0,1,11,0,0,0,0,0,0xAA,0x00
377,5,0,1,0,0,0,1,12,0,0,0,0,0,0xAA,0x00
378,5,0,1,0,0,0,1,13,0,0,0,0,0,0xAA,0x00
379,5,0,1,0,0,0,1,14,0,0,0,0,0,0xAA,0x00
380,5,0,1,0,0,0,1,15,0,0,0,0,1,0x51,0x02
381,9,0,1,0,0,0,1,0,0,0,0,0,1,0x51,0x02
382,9,0,1,0,0,0,1,1,0,0,0,0,1,0x51,0x02
383,9,0,1,0,0,0,1,2,0,0,0,0,1,0x51,0x02
384,9,0,1,0,0,0,1,3,0,0,0,0,1,0x51,0x02
385,9,0,1,0,0,0,1,4,0,0,0,0,1,0x51,0x02
386,9,0,1,0,0,0,1,5,0,0,0,0,1,0x51,0x02
387,9,0,1,0,0,0,1,6,0,0,0,0,1,0x51,0x02
388,9,0,1,0,0,0,1,7,0,0,0,0,1,0x51,0x02
389,9,0,1,0,0,0,1,8,0,0,0,0,1,0x51,0x02
390,9,0,1,0,0,0,1,9,0,0,0,0,1,0x51,0x02
391,9,1,0,0,1,0,1,10,0,0,0,0,1,0x51,0x02
392,9,1,0,0,1,0,1,11,0,0,0,0,1,0x51,0x02
393,9,1,0,1,1,0,1,12,0,0,0,0,1,0x51,0x02
394,9,1,0,1,1,0,1,13,0,0,0,0,1,0x51,0x02
395,9,1,0,1,1,0,1,14,0,0,0,0,1,0x51,0x02
396,9,1,0,1,0,1,1,15,0,0,0,0,1,0x51,0x02
397,9,1,0,1,0,1,0,16,0,0,1,0,1,0x51,0x02
398,9,1,0,1,0,1,0,17,0,0,0,1,1,0x51,0x02
399,1,1,0,1,0,1,0,0,0,0,0,1,0,0x51,0x02
400,1,0,1,0,0,1,0,1,0,0,0,0,0,0x51,0x02
401,1,0,1,0,0,1,0,2,0,0,0,0,0,0x51,0x02
402,1,0,1,0,0,1,0,3,0,0,0,0,0,0x51,0x02
403,1,0,1,0,0,1,0,4,0,0,0,0,0,0x51,0x02
404,1,0,1,0,0,1,0,5,0,0,0,0,0,0x51,0x02
405,1,0,1,0,0,1,0,6,0,0,0,0,0,0x51,0x02
406,1,0,1,0,0,1,0,7,0,0,0,0,0,0x51,0x02
407,1,0,1,0,0,1,0,8,0,0,0,0,0,0x51,0x02
408,1,0,1,0,0,1,0,9,0,0,0,0,0,0x51,0x02
409,2,0,1,0,0,1,0,0,0,0,0,0,0,0x51,0x02
410,2,0,1,0,1,1,0,0,7,0,0,0,0,0x51,0x02
